cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
011258;00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2022;-7.67777765754;-3.16478296758;58.7799607029;4.75322979339;-10.8443537259;352611000;21.7701196907;-1.55262653285;347840000;4035411000;-127712000;1663398000
011258;00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2023;-8.93325224757;-3.18107237335;64.3906576777;5.72703270862;-16.1709528836;380712000;19.8367065317;-0.788618557069;416840000;4003587000;-127357000;1425651000
011258;00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2024;-4.49200141429;-1.62768323111;63.7648548833;5.64568611183;4.46423614882;425387000;-0.605748008828;2.15801480023;414315000;4089985000;-66572000;1482012000
011258;00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2025;8.01922733377;3.18425116477;60.2922946035;6.29203812201;48.2068556788;698514000;18.5110362888;7.8846499437;491009000;4412466000;140504000;1752089000
015423;00.359.742/0001-08;FICTOR ALIMENTOS S.A.;2020;84.8647532521;45.2560102771;46.6727839971;6.76103500761;32.0198643254;14791000;;;30809000;27245000;12330000;14529000
015423;00.359.742/0001-08;FICTOR ALIMENTOS S.A.;2021;38.3788568538;22.7043201795;40.8415934169;11.1490364026;20.0334008457;17887000;-8.6533155896;-1.87190310149;28143000;26735000;6070000;15816000
015423;00.359.742/0001-08;FICTOR ALIMENTOS S.A. - EM RECUPERAÇÃO JUDICIAL;2022;42.7280477408;28.6064895408;33.0498558831;10.5522433927;26.2578703962;23650000;27.541484561;31.0678885356;35894000;35041000;10024000;23460000
015423;00.359.742/0001-08;FICTOR ALIMENTOS S.A. - EM RECUPERAÇÃO JUDICIAL;2023;-3.0430158355;-1.98489169814;34.7722192245;30.6380145278;-9.14697297806;19559000;-40.8201927899;-25.9553094946;21242000;25946000;-515000;16924000
015423;00.359.742/0001-08;FICTOR ALIMENTOS S.A. - EM RECUPERAÇÃO JUDICIAL;2024;16.7275727926;-141900;848400;0.0232558139535;;0;-100;-99.9961458414;0;1000;-1419000;-8483000
015423;00.359.742/0001-08;FICTOR ALIMENTOS S.A. - EM RECUPERAÇÃO JUDICIAL;2025;-60.2583234704;-28.6259075464;52.4946830616;1.39445834135;-29.8414716413;661000;;8181300;77084000;81814000;-23420000;38866000
